prova,ciclo,tier,box,sbb,rp,nome,sexo,nasc,nmgc,sbb_pai,nome_pai,sbb_mae,nome_mae,criador,media
Final Freio de Ouro,2025,1,100,B552832,222,NIAZZI ONÇA,FÊMEA,30/08/2015,7,B349886,NIAZZI IMPROVISO,B178899,OPINIÃO DO GARRUCHO,TIAGO ANTONIAZZI,18.947
Final Freio de Ouro,2025,1,101,B589066,44,IKARIA DA VILLA DA RAINHA,FÊMEA,16/11/2019,6,B418357,ESQUIVADO CALA BASSA-TE,B373390,CONQUISTA DO PURUNÃ,AGROPECUÁRIA PASSO DAS PEDRAS LTDA,18.888
Final Freio de Ouro,2025,1,102,B570719,130,MEIA VOLTA JOGADOR-TE,MACHO,03/09/2018,5,B301233,PO BANDIDAZO,B198666,QUEBRA PEDRA DO PURUNÃ,OSWALDO GUTHEIL E HILDA MARIA GOULART,18.537
Final Freio de Ouro,2025,1,103,B584512,24,DON MIRO 24 COSTEIRO,MACHO,17/08/2018,6,B297683,ESCALPO 1011 MAUFER,B317586,LEGENDA DA CHARQUEADA,MAURÍCIO LAMPERT WEIAND,18.511
Final Freio de Ouro,2025,1,104,B489094,350,TIO LAURINDO DO CERRO FRIO,MACHO,21/11/2015,5,B367688,CAPANEGRA SERENO II,B181042,GILCA VENCEDOR,CABANHA CERRO FRIO,18.266
Final Freio de Ouro,2025,1,105,B499896,463,EXPOENTE DA OCA,MACHO,24/07/2016,7,B348563,GRITO FUERTE 210 DA VENDRAMIN,B152258,BUTIÁ OLIVA,OTO BREIER,18.242
Final Freio de Ouro,2026,1,01,B620622,454,PP DEBOCHADA DA RENASCER,FÊMEA,30/11/2021,6,B399620,SANTA ALICE NUBLADO II,B279447,ESTAMPA II DA CAMILA,PAULO ROBERTO PAVIN,19.221
Final Freio de Ouro,2026,1,02,B628441,1106,SANTA ALICE AGUERRIDA,FÊMEA,02/11/2021,6,B399620,SANTA ALICE NUBLADO II,B464012,SANTA ALICE PECETA,MARCELO BOMFIGLIO MARÇAL,19.682
Final Freio de Ouro,2026,1,03,B614383,1343,RE SAIA CURTA,FÊMEA,08/01/2021,7,B457302,IMPULSO DA MAYA,B256263,CABOCLA DA ONICRON,EVALDO FRANCISCO DA ROSA,19.198
Final Freio de Ouro,2026,1,04,B601654,40,HARMONIA DA BARRA FUNDA,FÊMEA,02/12/2020,7,B363864,AS MALKE VETERANO,B313801,OK ENVIDIA,ROBERTO ARAÚJO DIEDRICH,18.724
Final Freio de Ouro,2026,1,05,B598912,569,CALHANDRA DA COXILHA ALTA,FÊMEA,29/11/2020,7,B476332,CAMPANA DON CASMURRO,B371773,RUANA DA COXILHA ALTA,CLÁUDIO FRANCO GONÇALVES,19.309
Final Freio de Ouro,2026,1,06,B620658,85,FARROUPILHA DO MONJOLO,FÊMEA,27/11/2020,6,B494611,ATROPELO DO MONJOLO,B160633,CALDERA SOMBRA,JOSÉ GOMES CEZAR E FILHO,20.627
Final Freio de Ouro,2026,1,07,,,LEYENDA SALVAJE,FÊMEA,22/11/2020,0,B284320,MAPA CALA BASSA,,,ANASTASIO GAMARRA,18.324
Final Freio de Ouro,2026,1,08,B613422,1339,PARCERIA DA QUINTA,FÊMEA,14/11/2020,6,B266264,ELEITO DO MANO A MANO,B374959,RAZÃO DO SONHO DA QUINTA,PÉRICLES E DINAH DRUCK,19.262
Final Freio de Ouro,2026,1,09,B656890,2969,DEL OESTE FOGATA,FÊMEA,25/10/2020,0,B616747,DEL OESTE ZORRINO,,,LA ESPERANZA DE BALLESTER S.R.L.,19.731
Final Freio de Ouro,2026,1,10,B613586,351,A LO LARGO PAMPA MIA,FÊMEA,14/10/2020,9,B509618,JALISCO DA GAP SÃO PEDRO,B413973,A LO LARGO GOTA D ÁGUA,PÉRICLES P.DRUCK E PAULO ROBERTO SOUTO,19.651
Final Freio de Ouro,2026,1,11,B609448,207,MARQUESA DO CANTO PORTO,FÊMEA,29/09/2020,6,B401915,JOTACE AMULETO,B243416,BT ZAINA II DO JUNCO,ANTONIO CARLOS CANTO PORTO FILHO,19.382
Final Freio de Ouro,2026,1,12,B611609,489,QUADRILHA DA TAMAREIRA -TE,FÊMEA,25/09/2020,6,B371076,JA LIBERTADOR,B462883,JASMIM DA TAMAREIRA,CARLA F. MUSA / ONÉCIO SILVEIRA PRADO JR,18.992
Final Freio de Ouro,2026,1,13,B601209,172,MACEDÔNIA DA MACEDÔNIA,FÊMEA,12/08/2020,8,B316303,SJ ACORDEON,B233451,OEA TARANTELA,PABLO RICARDO BENVENUTTI,19.860
Final Freio de Ouro,2026,1,14,B606179,1518,BASCA HARMONIA II,FÊMEA,01/08/2020,7,B243062,BASCO ONÁSSIS,B463167,AS MALKE DENGOSA-TE,MARIANA FRANCO TELLECHEA E FILHOS,19.300
Final Freio de Ouro,2026,1,15,B593337,591,QUEIMA ROUPA II DA TAMANCA,FÊMEA,23/01/2020,6,B460130,BASCO BALUARTE,B161532,BT NICOTINA II,LAURO CARDOSO TERRA E FILHOS,18.537
Final Freio de Ouro,2026,1,16,B578873,14,ERVA BRABA DO IGUATAMÃ,FÊMEA,26/12/2019,7,B252840,FERIADO DE SANTA EDWIGES,B364389,JÓIA RARA DO RODOPIO,PAULA ROBERTA MIGUEL,19.928
Final Freio de Ouro,2026,1,17,B590165,244,DRICA DE QUARACI,FÊMEA,14/12/2019,6,B269661,AS MALKE SEDUTOR- TE,B324898,VV VALENTIA,ROSALIE TAVARES NEGRINI JONES,19.768
Final Freio de Ouro,2026,1,18,B583492,07,LA VIRGÍNIA CANCION,FÊMEA,05/12/2019,7,B159375,JALISCO DE SANTA ANGÉLICA,B369397,SERENATA DA BOA VISTA,JOSE FERNANDO FAGUNDES,19.497
Final Freio de Ouro,2026,1,19,,,CRISOL GOLONDRINA,FÊMEA,04/12/2019,0,,,,,JUANA INES NOGUES,18.575
Final Freio de Ouro,2026,1,20,B586440,263,GUARITA IMBIRA,FÊMEA,19/11/2019,7,B192264,MATREIRO DO ITAPORORÓ,B216522,CARMEN ADMIRACIÓN,LUÍZ CARLOS ARDENGHY SOBRINHO E FILHOS,18.557
Final Freio de Ouro,2026,1,21,B576839,45,JUSTICEIRA DO AÇUNGUI,FÊMEA,14/11/2019,7,B349886,NIAZZI IMPROVISO,B260490,BARONESA DA BARAÚNA,LUIZ ERNESTO WENDLER E FILHOS,19.194
Final Freio de Ouro,2026,1,22,B596213,909,RANCÁGUA DO MACANUDO,FÊMEA,12/11/2019,6,B137740,GANADERO DA HARMONIA,B250930,BRILHANTINA DO MACANUDO,MAURO E TELMO FERREIRA,19.443
Final Freio de Ouro,2026,1,23,B588152,104,FASCINAÇÃO DA MELODIA,FÊMEA,07/11/2019,7,B422617,QUERENDON DO RECANTO CRIOULO,B391567,CIGANA DA MELODIA,RENARO CARDOSO DOS SANTOS,19.255
Final Freio de Ouro,2026,1,24,B582430,4016,PRESILHA 4016 DA TRADIÇÃO,FÊMEA,06/11/2019,6,B234496,LOS HERMANOS CIMARRON,B401470,PRESILHA 3694 DA TRADIÇÃO,PAULO MARTINS BASTOS,18.085
Final Freio de Ouro,2026,1,25,B593258,552,JOTACE HARMONIA,FÊMEA,30/10/2019,6,B323762,JOTACE VALE TUDO,B353730,JOTACE XANGUEIRA,JOÃO JURACI CANTARELLI,18.923
Final Freio de Ouro,2026,1,26,B597035,357,RENASCÊNCIA DO ESPIGÃO-TE,FÊMEA,20/10/2019,7,B589655,COLIBRI MATRERO,B398678,INDEPENDÊNCIA DO ESPIGÃO,JOSÉ ADEMIR PEREIRA,20.734
Final Freio de Ouro,2026,1,27,B592272,377,PROMESSA DA RORAIMA,FÊMEA,18/10/2019,6,B274076,ESTILHAÇO DO CAÇADOR,B345226,FACEIRA DA RORAIMA,RIVADAVIA FIORILLO MENARIM,19.802
Final Freio de Ouro,2026,1,28,B576920,1019,URTIGA II CHARRUA,FÊMEA,14/10/2019,9,B311023,LAS CALLANAS MIL RAZONES-TE,B248285,ESCOLTA II CHARRUA,JOÃO ROUGET PÉREZ WREGE,19.649
Final Freio de Ouro,2026,1,29,B595619,976,PO OBRA DE ARTE,FÊMEA,30/09/2019,8,B510560,PO LINDO PINGO,B163904,EL TRAPICHE FAMA,GONÇALO PORTO SILVA,18.681
Final Freio de Ouro,2026,1,30,B589935,2080,QUATIARA 2080 MAUFER,FÊMEA,26/09/2019,7,B438313,KT AMANHECER,B413494,HIJA BUENA 1438 MAUFER-TE,FERNANDO LAMPERT WEIAND,19.275
Final Freio de Ouro,2026,1,32,B608552,164,ED XISCA,FÊMEA,22/02/2019,6,B101899,CHICÃO DE SANTA ODESSA,B200122,ED DANÇARINA,VITOR E ROGÉRIO EDELWEISS,18.998
Final Freio de Ouro,2026,1,33,B558830,101,VELHO DINO FINA FLOR,FÊMEA,19/12/2018,7,B137740,GANADERO DA HARMONIA,B300269,JARARACA DA CHARQUEADA,ROBERTO BRUM SACCO,19.289
Final Freio de Ouro,2026,1,34,B562770,94,EL BARQUERO 94 HUBERTINA,FÊMEA,01/12/2018,7,B294584,HARMONIA TEMPRANO,B363561,EL BARQUERO 04 PATAGONIA,RICARDO GALICCHIO KROEF,19.379
Final Freio de Ouro,2026,1,35,B605436,70,GUERREIRA DA PAVEI,FÊMEA,26/11/2018,5,B101899,CHICÃO DE SANTA ODESSA,B268878,GUERREIRA DA ÁGUA VERDE,FILIPE SILVEIRA PAVEI,21.220
Final Freio de Ouro,2026,1,36,B551715,36,IMPERATRIZ DO AÇUNGUI,FÊMEA,05/11/2018,6,B186023,ALTO ASTRAL DE SANTA EDWIGES,B355896,GORDITA 178 DA VENDRAMIN,LUIZ ERNESTO WENDLER E FILHOS,18.759
Final Freio de Ouro,2026,1,37,B557730,143,BELLE PORCELANA,FÊMEA,27/10/2018,5,B152241,BUTIÁ OLODUM,B311476,DELICADA DA MAYA,ELIZABETH LEMANSKI,20.285
Final Freio de Ouro,2026,1,38,B560383,2473,CAPANEGRA DOÑA GUINDA-TE,FÊMEA,14/10/2018,7,B418357,ESQUIVADO CALA BASSA- TE,B270952,CAPANEGRA OÑA GUINDA,FERNANDO DORNELLES PONS,19.330
Final Freio de Ouro,2026,1,39,B553847,979,TEMPESTADE CHARRUA,FÊMEA,29/09/2018,7,B201279,AQUI ESTOY DA SANTA JUVITA,B223976,DONA DA CAPA CHARRUA,JOÃO ROUGET PÉREZ WREGE,19.181
Final Freio de Ouro,2026,1,40,B549927,755,DOMINGUEIRA DO RECANTO,FÊMEA,20/01/2018,6,B137740,GANADERO DA HARMONIA,B206563,NUVEM NEGRA DO RECANTO,SUCESSÃO CARLOS ALBERTO RUIZ SEVERO,19.119
Final Freio de Ouro,2026,1,41,,,INDIA ENVENENADA DEL CHAMAME,FÊMEA,28/12/2017,0,B409696,BASCO VENENO,D0092001,INDIECITA DEL CHAMAME,TOMAS Y MARTIN GURMENDEZ MARQUEZ,20.770
Final Freio de Ouro,2026,1,42,B536165,2020,ORQUÍDEA 2020 MAUFER,FÊMEA,22/11/2017,7,B074968,BT DELANTERO,B280822,VIRAÇÃO DO MANANTIAL,FERNANDO LAMPERT WEIAND,18.311
Final Freio de Ouro,2026,1,43,B541085,100,ILUMINADA DO RIO NEGRO,FÊMEA,20/11/2017,6,B327266,BEM FEITO CALA BASSA,B409864,DEBOCHADA DO RIO NEGRO,GUSTAVO CAMPONOGARA,19.954
Final Freio de Ouro,2026,1,44,B548863,446,IBERICA DA 3J,FÊMEA,13/11/2017,6,B146172,BT LUCERO,B251343,VIOLETA DA 3J,PARCERIA ANDRADE LIMA,19.842
Final Freio de Ouro,2026,1,45,B539100,540,OFERENDA DA TAMANCA,FÊMEA,26/10/2017,6,B101899,CHICÃO DE SANTA ODESSA,B269321,CAMPANA TARIMBERA,LAURO CARDOSO TERRA E FILHOS,20.029
Final Freio de Ouro,2026,1,46,B537731,171,TL NEVASCA,FÊMEA,08/10/2017,9,B299837,SENDERO ESTRIBO,B157664,OBA DO PAINEL,BRUNO BERWIG TOMBINI,18.716
Final Freio de Ouro,2026,1,47,B545123,347,VITÓRIA DO TAMBORÉ-TE,FÊMEA,22/09/2017,8,B280462,SARGENTO DO ITAPORORÓ,B410960,QUIMERA DO TAMBORÉ,DIEGO DE LUCENA ZANANDRÉA,19.232
Final Freio de Ouro,2026,1,48,B549896,992,SANTA ALICE SINHA MOÇA,FÊMEA,13/09/2017,6,B137740,GANADERO DA HARMONIA,B152271,SANTA ALICE SERENATA,MARCELO BOMFIGLIO MARÇAL,19.573
Final Freio de Ouro,2026,1,49,B536260,042,QT ÁUREA -TE,FÊMEA,01/12/2016,6,B409228,QT CHICÃO,B181878,QT MINHA VÓ,MÁRCIO FONTOURA VIEIRA MARQUES,18.669
Final Freio de Ouro,2026,1,50,B523967,1807,JABOTICABA DA GAP SÃO PEDRO,FÊMEA,30/09/2016,7,B396137,"FANTÁSTICO DE
SÃO PEDRO",B298852,BAZUCA DE SÃO PEDRO,EDUARDO MACEDO LINHARES,18.752
Final Freio de Ouro,2026,1,51,B508158,47,SANTA LARISSA CARAMEL,FÊMEA,27/09/2016,6,B371076,JA LIBERTADOR,B439105,TRÊS CERROS ELA É TOP,LUIZ KENDY MAEDA,18.858
Final Freio de Ouro,2026,1,52,B487977,86,BELONA DE QUARACI,FÊMEA,14/10/2015,6,B137740,GANADERO DA HARMONIA,B370017,ZR ESTRELA DA NOITE,ROSALIE TAVARES NEGRINI JONES,18.377
Final Freio de Ouro,2026,1,53,B445088,428,PASSO NOVO NAVALHA,FÊMEA,14/11/2013,6,B229532,JUPURÁ DA VIAMARA,B213522,SERPENTE DE PAI PASSO,MAURÍCIO BASTOS MOLINA,18.946
Final Freio de Ouro,2026,1,54,B636501,754,TENEDOR DA CABANHA SANTA FÉ,MACHO,16/11/2021,8,B457302,IMPULSO DA MAYA,B525507,OPALINA DA CABANHA SANTA FÉ,GILBERTO RODRIGUES DE FREITAS,19.568
Final Freio de Ouro,2026,1,55,B614387,1345,RE SILVESTRE-TE,MACHO,13/01/2021,7,B457302,IMPULSO DA MAYA,B149709,FAMOSA DA FASCINAÇÃO,EVALDO FRANCISCO DA ROSA,20.518
Final Freio de Ouro,2026,1,56,B609800,937,LEMA DOS CASTANHEIROS-TE,MACHO,25/12/2020,9,B422617,QUERENDON DO RECANTO CRIOULO,B443609,DESAVENÇA DOS CASTANHEIROS,MIGUEL E RODRIGO SCARPELLINI CAMPOS,19.449
Final Freio de Ouro,2026,1,57,B604107,69,SANTUÁRIO DO CURUPÁ,MACHO,01/12/2020,7,B226846,BUENAÇO DA MAIOR,B232431,PEONA DO ITAPORORÓ,RICARDO DE FREITAS LABRÊA,18.959
Final Freio de Ouro,2026,1,58,B603726,240,FLOREIO COLIBRI,MACHO,30/11/2020,6,B589655,COLIBRI MATRERO,B323389,FLOREIO PAQUERADA,LUIZ ALBERTO MARTINS BASTOS,18.817
Final Freio de Ouro,2026,1,59,B597067,27,ZAMORA FERRO E FOGO,MACHO,22/11/2020,7,B495332,UM BUENO DO PASSO DA LAGE,B157879,PRATA DE SANTA THEREZA,MARCO ANTONIO VIEIRA BORGES ANTUNES,19.852
Final Freio de Ouro,2026,1,60,B614849,365,A LO LARGO PENSAMENTO,MACHO,17/11/2020,6,B266264,ELEITO DO MANO A MANO,B456818,A LO LARGO INDIANA,PÉRICLES P.DRUCK E PAULO ROBERTO SOUTO,19.701
Final Freio de Ouro,2026,1,61,B602572,950,SOMBRERO DO MACANUDO,MACHO,15/11/2020,8,B137740,GANADERO DA HARMONIA,B349088,SANTA TERESA CANTARINA,MAURO E TELMO FERREIRA,20.673
Final Freio de Ouro,2026,1,62,B631926,92,FULANO DE TAL DE LOS BUENOS,MACHO,11/11/2020,8,B209322,MARAGATO DOS ALPES,B341066,LUNETA DA RECONQUISTA,LUIS CARLOS KOCZKODAY,18.956
Final Freio de Ouro,2026,1,63,B598568,01169,ESPERADO DE SANTA THEREZA,MACHO,10/11/2020,8,B467678,GOLILLA PATRON,B295501,OPALINA DE SANTA MARGARIDA,RODOLFO BELMONTE MÓGLIA,19.575
Final Freio de Ouro,2026,1,64,B608757,2171,GAP ORFEU,MACHO,04/11/2020,8,B396137,"FANTÁSTICO DE
SÃO PEDRO",B275959,AMANDA DE SÃO PEDRO,EDUARDO MACEDO LINHARES,20.765
Final Freio de Ouro,2026,1,65,,,LEON SALVAJE,MACHO,15/10/2020,0,B399620,SANTA ALICE NUBLADO II,D0099214,DINASTIA SALVAJE,ANASTASIO GAMARRA,19.810
Final Freio de Ouro,2026,1,66,B629333,93,RINCÃO DA ESTÂNCIA VELHA,MACHO,15/10/2020,7,B137740,GANADERO DA HARMONIA,B283150,AUDACIOSA DE SANTA ADÉLIA,EDUARDO GOULART E MATEUS SILVEIRA,18.638
Final Freio de Ouro,2026,1,67,B612225,351,FACON DO KAVAJU PORÃ,MACHO,12/10/2020,7,B331268,FESTEJO 1061 MAUFER,B247247,MESCLA DO KAVAJU PORÃ,JOSÉ FRANCISCO PEREIRA DE MOURA,19.188
Final Freio de Ouro,2026,1,68,B611619,492,QUADRO NEGRO DA TAMAREIRA,MACHO,05/10/2020,6,B371076,JA LIBERTADOR,B281763,VV TRANQUILA,CARLA F. MUSA / ONÉCIO SILVEIRA PRADO JR,19.859
Final Freio de Ouro,2026,1,69,B653514,2047,PATRONATO CALA BASSA-TE,MACHO,02/10/2020,6,B137740,GANADERO DA HARMONIA,B176061,FIRMEZA 1278 DO 1040,MARCELO REZENDE MÓGLIA,20.522
Final Freio de Ouro,2026,1,70,B613925,2122,GAP ONIX,MACHO,08/09/2020,8,B396137,FANTÁSTICO DE SÃO PEDRO,B482321,SÃO KAROL PRENDA,EDUARDO MACEDO LINHARES,18.447
Final Freio de Ouro,2026,1,71,B586302,474,PACIFICO CUPERTINO CORAZON,MACHO,29/02/2020,0,B589655,COLIBRI MATRERO,B327209,ALGAZARRA DA PALMEIRA,LA PACÍFICA,19.551
Final Freio de Ouro,2026,1,73,,,PACIFICO MERCENARIO,MACHO,12/12/2019,0,B589655,COLIBRI MATRERO,D0075777,PACIFICA VUELTA AL PAGO,LA PACÍFICA,18.000
Final Freio de Ouro,2026,1,74,B599465,1971,MOCCATEO CALA BASSA-TE,MACHO,20/11/2019,6,B589655,COLIBRI MATRERO,B353282,CAMBRAIA CALA BASSA,MARCELO REZENDE MÓGLIA,18.002
Final Freio de Ouro,2026,1,75,B577160,274,SANTA TECLA RELINCHO,MACHO,17/11/2019,6,B589655,COLIBRI MATRERO,B152508,NOTÍCIA II DE SÃO PEDRO,MÁXIMO ANTONIO DEUD E JAMIL DEUD JUNIOR,18.760
Final Freio de Ouro,2026,1,76,B606442,335,IMBATÍVEL DA GEMA-TE,MACHO,08/11/2019,7,B201279,AQUI ESTOY DA SANTA JUVITA,B501032,ERVA BUENA DA GEMA,WESLEY RAMINEZ BARRETO,18.248
Final Freio de Ouro,2026,1,77,B591519,1332,FAUSTINO DO INFINITO,MACHO,01/11/2019,7,B367555,VINAGRE DO INFINITO,B318801,TRAMPOSA DO INFINITO,ROBERTO SIDNEY DAVIS JÚNIOR,20.668
Final Freio de Ouro,2026,1,78,B588900,2571,CAPANEGRA ESPARTANO,MACHO,09/10/2019,7,B196924,CAPANEGRA JACARTA,B270893,CAPANEGRA ONÇA PARDA,FERNANDO DORNELLES PONS,19.198
Final Freio de Ouro,2026,1,79,B578110,117,ULTIMATO DE SÃO CRISTOVÃO,MACHO,06/10/2019,6,B351099,AS MALKE VERSO,B242006,EJV ESTAMPA,TIAGO PERETTO,18.691
Final Freio de Ouro,2026,1,80,B585541,890,IMIGRANTE DO ITAÓ,MACHO,01/10/2019,6,B589655,COLIBRI MATRERO,B377880,ZARCA DO ITAÓ,CÁSSIO SOUZA BONOTTO,19.180
Final Freio de Ouro,2026,1,81,B576760,110,LOS ROTCHA SARGENTO,MACHO,01/10/2019,8,B462421,SJ FESTEJO,B482882,LOS ROTCHA ORACION,RODRIGO E FERNANDO OCTÁVIO DA ROCHA,18.924
Final Freio de Ouro,2026,1,82,B594717,587,RINCÃO DA CABANHA SANTA FÉ,MACHO,25/09/2019,7,B317108,JA IMPULSO,B351455,HERDEIRA DA CABANHA SANTA FÉ,GILBERTO RODRIGUES DE FREITAS,19.821
Final Freio de Ouro,2026,1,83,B578484,5035,EMPRESÁRIO TUPAMBAÉ,MACHO,24/09/2019,9,B234851,SANTA ISABEL CALAMAR,B273602,OITO BAIXO TUPAMBAÉ,OSWALDO DORNELLES PONS,18.686
Final Freio de Ouro,2026,1,84,B634379,222,CACHIMBO TROVADOR 222-TE,MACHO,19/09/2019,6,B589655,COLIBRI MATRERO,B303367,MOROCHA DE LA MISTERIOSA,LUIZ MARTINS BASTOS NETO,19.748
Final Freio de Ouro,2026,1,85,B576012,1092,CAMPANA HABANERO,MACHO,10/09/2019,8,B481227,TAÑIDO CANTA GALLO,B220552,CAMPANA QUITANDA,MÁRIO MOGLIA SUÑE,19.816
Final Freio de Ouro,2026,1,86,B564928,720,VALE TUDO DO RECANTO CRIOULO-TE,MACHO,08/02/2019,7,B422617,QUERENDON DO RECANTO CRIOULO,B168476,BUENAÇA DO RECANTO CRIOULO,ADELMO HESS,18.416
Final Freio de Ouro,2026,1,87,B579134,1047,SANTA ALICE TACO,MACHO,10/01/2019,6,B464026,SANTA ALICE POSTEIRO,B223604,SANTA ALICE ESQUIVA,MARCELO BOMFIGLIO MARÇAL,18.607
Final Freio de Ouro,2026,1,88,B570652,141,QUEBRACHO NEGRO DO MORRO CHATO,MACHO,07/01/2019,6,B418357,ESQUIVADO CALA BASSA- TE,B330503,GALPONERA DO MORRO CHATO,MARLUS ARRUDA SILVA,19.100
Final Freio de Ouro,2026,1,89,B564929,714,VALE OURO DO RECANTO CRIOULO-TE,MACHO,05/01/2019,7,B196385,ENCOMENDERO DO RECANTO CRIOULO,B350285,NOBREZA DO RECANTO CRIOULO,ADELMO HESS,18.880
Final Freio de Ouro,2026,1,90,B578411,356,IPIRANGA DO PASSO FUNDO,MACHO,06/12/2018,6,B409696,BASCO VENENO,B318695,BENZEDEIRA DO PASSO FUNDO,EVARISTO TAGLIARI NETO,19.641
Final Freio de Ouro,2026,1,91,B573942,428,LA CASTELLANA PALESTINO,MACHO,30/11/2018,7,B192264,MATREIRO DO ITAPORORÓ,B427697,HASTA CUANDO DO SALIMAR,MARCELO AMARAL MORAES,20.211
Final Freio de Ouro,2026,1,92,B559034,176,GRANDE AMIGO DO PORTAL GAÚCHO,MACHO,28/11/2018,6,B324919,JOGO DURO DO PORTAL GAÚCHO,B325139,VIRAGRO TALERA,JOSÉ LUIZ TEIXEIRA MARCANTONIO,19.858
Final Freio de Ouro,2026,1,93,B558297,216,RIVAL DA DOM MANOEL,MACHO,22/10/2018,7,B323696,HILÁRIO DA DOM MANOEL,B272405,TJ AZULEGA,SÉRGIO ROBERTO DA SILVA NUNES,19.271
Final Freio de Ouro,2026,1,94,B562820,451,JULITO DA 3J,MACHO,24/09/2018,7,B321237,"ABRE CANCHA DA
3J",B422606,ESTA NOCHE DA 3J,PARCERIA ANDRADE LIMA,19.923
Final Freio de Ouro,2026,1,95,,,ENTREVERO DE LOS CARDOS,MACHO,02/11/2017,0,B210113,FACEIRO DO RECANTO CRIOULO,B291474,CAMPANA UNA GRINGA,MARCELO BERRUTTI,18.823
Final Freio de Ouro,2026,1,96,B546635,509,SANTIAGO DA BELA ALIANÇA-TE,MACHO,20/10/2017,7,B236065,ESQUILADOR DA BELA ALIANÇA,B153569,INEZITA DE SANTA ANGÉLICA,FRANCISCO CARLOS HABOWSKY,19.461
Final Freio de Ouro,2026,1,97,B515283,860,PO LAMPIÃO-TE,MACHO,21/11/2016,6,B296959,AS MALKE TORMENTO- TE,B110969,CONQUISTA DO ITAPORORÓ,GONÇALO PORTO SILVA,20.153
Final Freio de Ouro,2026,1,98,,,PAISANO GEN,MACHO,07/11/2016,0,,,,,SUC. DE EDUARDO VAQUER S. CIVIL,20.213
Final Freio de Ouro,2026,1,99,B511592,344,LA CASTELLANA NORTEÑO,MACHO,26/10/2016,7,B192264,MATREIRO DO ITAPORORÓ,B356930,MADRIGUERA NÉVOA,MARCELO AMARAL MORAES,19.278
Final Freio de Ouro,2026,1,100,B509629,1829,JAGUAR DA GAP SÃO PEDRO,MACHO,19/10/2016,7,B296959,AS MALKE TORMENTO- TE,B189933,RICOLETA DE SÃO PEDRO,EDUARDO MACEDO LINHARES,19.775
Final Freio de Ouro,2026,1,101,B524058,1746,RZ MALO ABRIGO DA CARAPUÇA-TE,MACHO,30/09/2016,5,B146172,BT LUCERO,B431256,RZ DOÑA LINDA DA CARAPUÇA,RUBENS ELIAS ZOGBI,18.592
Final Freio de Ouro,2026,1,102,B506486,1218,AS MALKE FOGO DE CHAO,MACHO,14/09/2016,6,B269661,AS MALKE SEDUTOR- TE,B311105,EXPLOSIVA DE LOS CAMPOS,JOSÉ SCHUTZ SCHWANCK,19.965
Final Freio de Ouro,2026,1,103,B503441,854,CAMPANA ESTRADERO,MACHO,01/09/2016,7,B238882,TRIUNFO DO PURUNÃ,B392066,CAMPANA ALZAPRIMA,MÁRIO MOGLIA SUÑE,19.504
Final Freio de Ouro,2026,1,104,B481753,1212,AS MALKE ESTRIBO,MACHO,02/01/2016,6,B269661,AS MALKE SEDUTOR- TE,B246210,AS MALKE QUEIMADA,JOSÉ SCHUTZ SCHWANCK,19.102
Final Freio de Ouro,2026,1,105,B486886,61,GUARANI 61 DA SORSUL,MACHO,24/09/2015,6,B382275,JAGUEL FRENAZO,B296931,LUMINA DO RECANTO CRIOULO,NORBERTO ULLMANN FILHO E POLIANI NARESSI,19.701
Final Freio de Ouro,2026,1,106,B672647,1717,PERDIDO CRUZ Y FIERRO,MACHO,01/11/2014,0,,,,,CARLOS MARIA BRAIDA,19.790
Final Freio de Ouro,2026,1,107,B632418,1195,RE RANCÁGUA,FÊMEA,05/12/2019,6,B589655,COLIBRI MATRERO,B256432,NEVASCA DA BOA VISTA,EVALDO FRANCISCO DA ROSA,18.672
Final Freio de Ouro,2026,1,108,B576030,1113,CAMPANA HERANÇA,FÊMEA,11/10/2019,6,B589655,COLIBRI MATRERO,B184786,CAMPANA NICOTINA,MÁRIO MOGLIA SUÑE,18.650
Final Freio de Ouro,2026,1,109,B602564,938,SACUDIDA II DO MACANUDO,FÊMEA,14/10/2020,7,B331268,FESTEJO 1061 MAUFER,B342807,CAMPANA XIRCA,MAURO E TELMO FERREIRA,18.647
Final Freio de Ouro,2026,1,110,B590114,242,TENTADORA DO OURIÇO,FÊMEA,18/10/2019,6,B115082,BT HOSPEDEIRO,B353100,ALEGRIA DOS CASTANHEIROS,LUIS AUGUSTO WEBER,18.441
Final Freio de Ouro,2026,1,111,B569989,519,CAMPEIO DA CABANHA SANTA FÉ,MACHO,03/10/2018,7,B317108,JA IMPULSO,B263920,RAPOSA DO ITAPORORÓ,GILBERTO RODRIGUES DE FREITAS,18.600
Final Freio de Ouro,2026,1,112,B607821,0504,SERTÃO DA MAIOR-TE,MACHO,07/12/2020,8,B401915,JOTACE AMULETO,B267674,MAÑANERO DICHOSA,LAURO VARELA MARTINS,18.561
Final Freio de Ouro,2026,1,113,B598560,1153,ESPANTO DE SANTA THEREZA,MACHO,20/08/2020,7,B372116,SEDUTOR TUPAMBAÉ,B196017,TERTULHA DE SANTA THEREZA,RODOLFO BELMONTE MÓGLIA,18.455
Final Freio de Ouro,2026,1,114,B594166,2002,MERLOT CALA BASSA,MACHO,05/12/2019,6,B450747,CAPANEGRA VENTHO,B328370,BONAVITA CALA BASSA,MARCELO REZENDE MÓGLIA,18.377
